Quantity,Material Type,Grade/Finish,Length & Width (in),Gauge,Thickness (in),Cost Per lb (USD),Width (in),Length (in),Density (lb/in^3),Volume (in^3),Weight per Sheet (lb),Total Weight (lb),Total Cost
32,Hot Rolled Steel,A36,36x120,11,0.1196,0.71,36.0,120.0,0.284,516.672,146.734848,4695.515136,3333.8157465599998
49,Aluminum,6061-T6,36x120,26,0.0179,2.19,36.0,120.0,0.098,77.328,7.578144000000001,371.32905600000004,813.2106326400001
4,Brass,C360,48x96,12,0.1046,4.79,48.0,96.0,0.307,481.9968,147.9730176,591.8920704,2835.163017216
15,Brass,C260,72x144,14,0.0747,3.63,72.0,144.0,0.307,774.4896,237.76830719999998,3566.5246079999997,12946.484327039998
11,Hot Rolled Steel,A1011,24x48,10,0.1345,0.61,24.0,48.0,0.284,154.94400000000002,44.004096000000004,484.04505600000005,295.26748416000004
45,Brass,C260,24x48,11,0.1196,4.41,24.0,48.0,0.307,137.7792,42.2982144,1903.419648,8394.08064768
25,Aluminum,6061-T6,60x120,22,0.0299,3.05,60.0,120.0,0.098,215.28,21.097440000000002,527.436,1608.6798000000001
17,Cold Rolled Steel,A1008,48x120,24,0.0239,0.64,48.0,120.0,0.284,137.66400000000002,39.096576,664.641792,425.37074688
31,Aluminum,5052-H32,48x96,16,0.0595,3.07,48.0,96.0,0.098,274.176,26.869248,832.946688,2557.14633216
3,Galvanized Steel,G90,48x72,10,0.1345,1.0,48.0,72.0,0.284,464.83200000000005,132.012288,396.03686400000004,396.03686400000004
35,Stainless Steel,304 2B,36x120,26,0.0179,4.09,36.0,120.0,0.289,77.328,22.347792,782.1727199999999,3199.0864247999993
40,Brass,C260,60x120,26,0.0179,3.79,60.0,120.0,0.307,128.88,39.566159999999996,1582.6463999999999,5998.229856
18,Aluminized Steel,Type 1,60x120,18,0.0478,1.06,60.0,120.0,0.284,344.16,97.74144,1759.34592,1864.9066752
35,Aluminum,6061-T6,36x72,23,0.0269,3.15,36.0,72.0,0.098,69.7248,6.8330304,239.15606400000001,753.3416016
16,Aluminum,5052-H32,48x72,18,0.0478,2.27,48.0,72.0,0.098,165.1968,16.1892864,259.0285824,587.994882048
45,Brass,C260,36x72,29,0.0135,4.83,36.0,72.0,0.307,34.992,10.742543999999999,483.41447999999997,2334.8919384
15,Stainless Steel,316L,48x72,10,0.1345,4.13,48.0,72.0,0.289,464.83200000000005,134.33644800000002,2015.0467200000003,8322.142953600001
28,Galvanized Steel,G60,48x144,21,0.0329,0.87,48.0,144.0,0.284,227.4048,64.5829632,1808.3229695999999,1573.2409835519998
13,Galvanized Steel,G90,36x120,16,0.0595,0.97,36.0,120.0,0.284,257.03999999999996,72.99935999999998,948.9916799999997,920.5219295999997
2,Galvanized Steel,G60,60x120,21,0.0329,0.95,60.0,120.0,0.284,236.88,67.27391999999999,134.54783999999998,127.82044799999997
4,Cold Rolled Steel,A366,48x72,17,0.056,0.58,48.0,72.0,0.284,193.536,54.964223999999994,219.85689599999998,127.51699967999998
33,Brass,C360,24x48,20,0.0359,5.05,24.0,48.0,0.307,41.3568,12.6965376,418.9857408,2115.87799104
7,Copper,C110,60x144,27,0.0164,4.93,60.0,144.0,0.321,141.696,45.484416,318.390912,1569.66719616
2,Aluminum,5052-H32,48x72,16,0.0595,1.97,48.0,72.0,0.098,205.632,20.151936000000003,40.303872000000005,79.39862784
44,Cold Rolled Steel,A1008,36x120,24,0.0239,0.62,36.0,120.0,0.284,103.248,29.322432,1290.1870079999999,799.9159449599999
33,Brass,C260,48x144,26,0.0179,4.37,48.0,144.0,0.307,123.72479999999999,37.983513599999995,1253.4559487999998,5477.602496255999
19,Stainless Steel,316L,60x120,29,0.0135,3.17,60.0,120.0,0.289,97.2,28.090799999999998,533.7252,1691.908884
43,Aluminized Steel,Type 1,60x144,17,0.056,0.89,60.0,144.0,0.284,483.84000000000003,137.41056,5908.65408,5258.702131200001
36,Hot Rolled Steel,A36,36x72,24,0.0239,0.74,36.0,72.0,0.284,61.948800000000006,17.5934592,633.3645312000001,468.6897530880001
2,Cold Rolled Steel,A1008,48x144,29,0.0135,0.68,48.0,144.0,0.284,93.312,26.500607999999996,53.00121599999999,36.04082688
30,Galvanized Steel,G60,36x72,27,0.0164,0.79,36.0,72.0,0.284,42.5088,12.0724992,362.17497599999996,286.11823103999996
48,Aluminized Steel,Type 1,48x120,28,0.0149,0.86,48.0,120.0,0.284,85.824,24.374015999999997,1169.9527679999999,1006.1593804799999
8,Cold Rolled Steel,A1008,60x120,17,0.056,0.49,60.0,120.0,0.284,403.2,114.50879999999998,916.0703999999998,448.8744959999999
10,Stainless Steel,316L,48x144,16,0.0595,2.98,48.0,144.0,0.289,411.264,118.855296,1188.55296,3541.8878208
21,Aluminum,3003-H14,48x96,19,0.0418,1.94,48.0,96.0,0.098,192.6144,18.8762112,396.4004352,769.016844288
39,Brass,C360,72x144,29,0.0135,5.13,72.0,144.0,0.307,139.968,42.970175999999995,1675.8368639999999,8597.04311232
39,Aluminum,6061-T6,48x72,18,0.0478,3.22,48.0,72.0,0.098,165.1968,16.1892864,631.3821696,2033.050586112
47,Aluminized Steel,Type 1,48x144,14,0.0747,1.21,48.0,144.0,0.284,516.3264,146.6366976,6891.9247872,8339.228992511999
8,Cold Rolled Steel,A366,36x120,18,0.0478,0.46,36.0,120.0,0.284,206.496,58.644864,469.158912,215.81309952
5,Aluminum,3003-H14,36x96,23,0.0269,3.18,36.0,96.0,0.098,92.96640000000001,9.1107072,45.553536,144.86024448
36,Hot Rolled Steel,A36,48x144,17,0.056,0.63,48.0,144.0,0.284,387.072,109.92844799999999,3957.4241279999997,2493.1772006399997
33,Galvanized Steel,G60,24x48,12,0.1046,1.04,24.0,48.0,0.284,120.4992,34.2217728,1129.3185024,1174.491242496
29,Hot Rolled Steel,A1011,48x144,20,0.0359,0.59,48.0,144.0,0.284,248.1408,70.4719872,2043.6876288,1205.7757009919999
40,Copper,C122,48x120,19,0.0418,5.36,48.0,120.0,0.321,240.76799999999997,77.28652799999999,3091.4611199999995,16570.231603199998
39,Aluminized Steel,Type 1,60x120,23,0.0269,0.85,60.0,120.0,0.284,193.68,55.00512,2145.1996799999997,1823.4197279999996
21,Hot Rolled Steel,A1011,72x144,14,0.0747,0.85,72.0,144.0,0.284,774.4896,219.9550464,4619.055974399999,3926.197578239999
27,Brass,C260,36x96,25,0.0209,4.01,36.0,96.0,0.307,72.23039999999999,22.174732799999997,598.7177856,2400.858320256
35,Aluminum,6061-T6,48x96,29,0.0135,2.17,48.0,96.0,0.098,62.208,6.0963840000000005,213.37344000000002,463.02036480000004
1,Aluminized Steel,Type 2,48x144,22,0.0299,1.03,48.0,144.0,0.284,206.6688,58.693939199999996,58.693939199999996,60.454757375999996
20,Brass,C360,48x96,19,0.0418,3.82,48.0,96.0,0.307,192.6144,59.1326208,1182.652416,4517.73222912
18,Aluminized Steel,Type 1,36x120,29,0.0135,1.21,36.0,120.0,0.284,58.32,16.56288,298.13184,360.7395264
18,Copper,C122,60x144,18,0.0478,4.73,60.0,144.0,0.321,412.992,132.570432,2386.267776,11287.046580480002
19,Copper,C110,72x144,28,0.0149,5.44,72.0,144.0,0.321,154.4832,49.58910720000001,942.1930368000002,5125.530120192001
25,Aluminum,6061-T6,48x72,28,0.0149,3.01,48.0,72.0,0.098,51.4944,5.0464512,126.16128,379.7454528
3,Stainless Steel,316L,48x96,21,0.0329,3.23,48.0,96.0,0.289,151.6032,43.81332479999999,131.43997439999998,424.5511173119999
31,Brass,C360,36x120,20,0.0359,4.9,36.0,120.0,0.307,155.088,47.612016,1475.9724959999999,7232.2652304
47,Copper,C110,36x72,26,0.0179,5.92,36.0,72.0,0.321,46.3968,14.8933728,699.9885216,4143.932047872
7,Hot Rolled Steel,A1011,60x120,10,0.1345,0.77,60.0,120.0,0.284,968.4000000000001,275.0256,1925.1792,1482.387984
33,Stainless Steel,304 2B,48x96,29,0.0135,3.65,48.0,96.0,0.289,62.208,17.978112,593.277696,2165.4635903999997
9,Stainless Steel,304 #4 Finish,36x120,23,0.0269,2.98,36.0,120.0,0.289,116.208,33.584112,302.257008,900.7258838399999
21,Stainless Steel,316L,48x120,24,0.0239,3.62,48.0,120.0,0.289,137.66400000000002,39.784896,835.4828160000001,3024.4477939200005
4,Galvanized Steel,G90,72x144,11,0.1196,0.78,72.0,144.0,0.284,1240.0128,352.1636352,1408.6545408,1098.750541824
40,Brass,C260,48x144,29,0.0135,4.73,48.0,144.0,0.307,93.312,28.646784,1145.87136,5419.971532800001
2,Stainless Steel,304 #4 Finish,36x120,14,0.0747,4.06,36.0,120.0,0.289,322.704,93.261456,186.522912,757.2830227199998
42,Hot Rolled Steel,A1011,60x144,12,0.1046,0.73,60.0,144.0,0.284,903.744,256.663296,10779.858432,7869.296655360001
11,Stainless Steel,304 #4 Finish,36x72,27,0.0164,2.8,36.0,72.0,0.289,42.5088,12.285043199999999,135.13547519999997,378.3793305599999
22,Cold Rolled Steel,A366,36x96,18,0.0478,0.54,36.0,96.0,0.284,165.1968,46.9158912,1032.1496064,557.360787456
10,Copper,C122,48x72,17,0.056,5.97,48.0,72.0,0.321,193.536,62.125056,621.25056,3708.8658431999997
45,Copper,C110,72x144,17,0.056,5.97,72.0,144.0,0.321,580.6080000000001,186.37516800000003,8386.882560000002,50069.68888320001
8,Cold Rolled Steel,A366,48x144,21,0.0329,0.68,48.0,144.0,0.284,227.4048,64.5829632,516.6637056,351.331319808
44,Stainless Steel,316L,36x96,17,0.056,2.94,36.0,96.0,0.289,193.536,55.931903999999996,2461.003776,7235.35110144
20,Copper,C110,24x48,22,0.0299,5.7,24.0,48.0,0.321,34.4448,11.0567808,221.135616,1260.4730112
27,Aluminum,5052-H32,36x96,26,0.0179,1.93,36.0,96.0,0.098,61.862399999999994,6.0625152,163.6879104,315.917667072
47,Cold Rolled Steel,A366,48x120,22,0.0299,0.72,48.0,120.0,0.284,172.224,48.911615999999995,2298.8459519999997,1655.1690854399997
30,Stainless Steel,304 #4 Finish,60x120,21,0.0329,3.08,60.0,120.0,0.289,236.88,68.45832,2053.7496,6325.548768000001
22,Stainless Steel,304 #4 Finish,72x144,16,0.0595,2.93,72.0,144.0,0.289,616.896,178.282944,3922.2247679999996,11492.11857024
11,Galvanized Steel,G90,48x72,25,0.0209,1.04,48.0,72.0,0.284,72.23039999999999,20.513433599999995,225.64776959999995,234.67368038399997
44,Copper,C122,48x120,16,0.0595,5.09,48.0,120.0,0.321,342.71999999999997,110.01311999999999,4840.5772799999995,24638.5383552
13,Aluminum,5052-H32,48x72,21,0.0329,2.17,48.0,72.0,0.098,113.7024,11.1428352,144.8568576,314.33938099200003
14,Hot Rolled Steel,A1011,24x48,29,0.0135,0.59,24.0,48.0,0.284,15.552,4.416767999999999,61.834751999999995,36.48250367999999
47,Aluminized Steel,Type 1,36x72,17,0.056,1.1,36.0,72.0,0.284,145.15200000000002,41.223168,1937.488896,2131.2377856000003
15,Stainless Steel,304 2B,36x96,21,0.0329,3.84,36.0,96.0,0.289,113.7024,32.859993599999996,492.89990399999994,1892.7356313599996
41,Copper,C110,36x72,17,0.056,5.15,36.0,72.0,0.321,145.15200000000002,46.59379200000001,1910.3454720000004,9838.279180800002
2,Brass,C260,36x72,10,0.1345,4.74,36.0,72.0,0.307,348.624,107.027568,214.055136,1014.6213446400001
48,Stainless Steel,304 #4 Finish,24x48,26,0.0179,3.54,24.0,48.0,0.289,20.6208,5.959411199999999,286.05173759999997,1012.6231511039999
42,Brass,C260,24x48,14,0.0747,3.83,24.0,48.0,0.307,86.0544,26.4187008,1109.5854336,4249.712210688
50,Cold Rolled Steel,A1008,60x144,11,0.1196,0.83,60.0,144.0,0.284,1033.344,293.469696,14673.4848,12178.992384
35,Aluminum,3003-H14,48x96,28,0.0149,2.91,48.0,96.0,0.098,68.6592,6.7286016,235.501056,685.30807296
49,Stainless Steel,304 #4 Finish,60x144,20,0.0359,3.06,60.0,144.0,0.289,310.176,89.640864,4392.402336,13440.751148160001
14,Galvanized Steel,G90,48x96,26,0.0179,0.69,48.0,96.0,0.284,82.4832,23.425228799999996,327.95320319999996,226.28771020799996
45,Copper,C110,36x96,12,0.1046,5.64,36.0,96.0,0.321,361.4976,116.04072959999999,5221.832832,29451.137172479997
10,Galvanized Steel,G90,24x48,16,0.0595,0.72,24.0,48.0,0.284,68.544,19.466495999999996,194.66495999999995,140.15877119999996
44,Hot Rolled Steel,A1011,36x96,19,0.0418,0.62,36.0,96.0,0.284,144.46079999999998,41.02686719999999,1805.1821567999996,1119.2129372159998
40,Galvanized Steel,G60,48x144,10,0.1345,0.88,48.0,144.0,0.284,929.6640000000001,264.024576,10560.983040000001,9293.6650752
10,Stainless Steel,304 #4 Finish,36x96,26,0.0179,3.27,36.0,96.0,0.289,61.862399999999994,17.878233599999998,178.782336,584.6182387199999
15,Stainless Steel,304 #4 Finish,48x96,14,0.0747,2.89,48.0,96.0,0.289,344.2176,99.4788864,1492.183296,4312.40972544
31,Aluminized Steel,Type 1,36x72,27,0.0164,1.06,36.0,72.0,0.284,42.5088,12.0724992,374.2474752,396.702323712
16,Copper,C122,48x72,17,0.056,5.19,48.0,72.0,0.321,193.536,62.125056,994.000896,5158.864650240001
41,Aluminum,5052-H32,48x72,14,0.0747,1.87,48.0,72.0,0.098,258.1632,25.299993600000004,1037.2997376,1939.7505093120003
7,Aluminized Steel,Type 2,36x96,11,0.1196,0.86,36.0,96.0,0.284,413.3376,117.38787839999999,821.7151488,706.675027968
40,Copper,C110,60x144,10,0.1345,5.56,60.0,144.0,0.321,1162.0800000000002,373.02768000000003,14921.107200000002,82961.35603200001
43,Brass,C260,36x120,12,0.1046,4.8,36.0,120.0,0.307,451.872,138.724704,5965.1622720000005,28632.7789056
