Quantity,Material,Grade,Stock Length (in),Cost per Stock Length (USD),Weight (lbs/ft),Total Length (ft),Total Weight (lb),Cost Per lb (USD),Total Cost
22,C8x18 Channel,ASTM A572 Grade 50,240,210,18.0,440.0,7920.0,0.5833333333333334,4620
9,C10x25 Channel,ASTM A36,240,250,25.0,180.0,4500.0,0.5,2250
45,C10x25 Channel,ASTM A500 Grade C,120,130,25.0,450.0,11250.0,0.52,5850
8,C8x18 Channel,ASTM A500 Grade B,240,210,18.0,160.0,2880.0,0.5833333333333334,1680
19,C10x15.3 Channel,ASTM A36,120,150,15.3,190.0,2907.0,0.9803921568627451,2850
9,C8x11.5 Channel,ASTM A709 Grade 50,240,220,11.5,180.0,2070.0,0.9565217391304348,1980
5,C8x11.5 Channel,ASTM A500 Grade C,120,120,11.5,50.0,575.0,1.0434782608695652,600
27,C8x11.5 Channel,ASTM A500 Grade B,240,220,11.5,540.0,6210.0,0.9565217391304348,5940
4,C4x7.5 Channel,ASTM A572 Grade 60,120,90,7.5,40.0,300.0,1.2,360
32,C10x15.3 Channel,ASTM A709 Grade 50,480,500,15.3,1280.0,19584.0,0.8169934640522876,16000
27,W6x12 Wide Flange Beam,ASTM A588,480,600,12.0,1080.0,12960.0,1.25,16200
25,L3x3x1/4 Angle,ASTM A992,120,40,3.0,250.0,750.0,1.3333333333333333,1000
35,HSS4x4x1/4 Hollow Structural Section,ASTM A36,240,280,4.0,700.0,2800.0,3.5,9800
38,W12x50 Wide Flange Beam,ASTM A709 Grade 50,120,350,50.0,380.0,19000.0,0.7,13300
28,W12x50 Wide Flange Beam,ASTM A572 Grade 60,480,1200,50.0,1120.0,56000.0,0.6,33600
2,W6x12 Wide Flange Beam,ASTM A992,240,320,12.0,40.0,480.0,1.3333333333333333,640
24,C4x7.5 Channel,ASTM A992,480,300,7.5,960.0,7200.0,1.0,7200
41,HSS8x8x1/2 Hollow Structural Section,ASTM A588,240,550,8.0,820.0,6560.0,3.4375,22550
14,C10x25 Channel,ASTM A572 Grade 50,240,250,25.0,280.0,7000.0,0.5,3500
42,HSS8x8x1/2 Hollow Structural Section,ASTM A992,120,300,8.0,420.0,3360.0,3.75,12600
21,W10x30 Wide Flange Beam,ASTM A36,240,750,30.0,420.0,12600.0,1.25,15750
29,C8x18 Channel,ASTM A992,120,110,18.0,290.0,5220.0,0.6111111111111112,3190
48,C12x20 Channel,ASTM A500 Grade B,120,100,20.0,480.0,9600.0,0.5,4800
4,W8x18 Wide Flange Beam,ASTM A992,120,200,18.0,40.0,720.0,1.1111111111111112,800
14,HSS5x5x1/4 Hollow Structural Section,ASTM A572 Grade 60,240,350,5.0,280.0,1400.0,3.5,4900
25,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,480,720,6.0,1000.0,6000.0,3.0,18000
41,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,120,150,4.0,410.0,1640.0,3.75,6150
3,W8x18 Wide Flange Beam,ASTM A709 Grade 50,480,650,18.0,120.0,2160.0,0.9027777777777778,1950
20,W14x30 Wide Flange Beam,ASTM A572 Grade 50,240,650,30.0,400.0,12000.0,1.0833333333333333,13000
7,C12x20 Channel,ASTM A709 Grade 50,120,100,20.0,70.0,1400.0,0.5,700
46,L8x8x3/8 Angle,ASTM A572 Grade 50,240,190,8.0,920.0,7360.0,1.1875,8740
8,C10x25 Channel,ASTM A572 Grade 60,480,470,25.0,320.0,8000.0,0.47,3760
34,W10x30 Wide Flange Beam,ASTM A992,480,1400,30.0,1360.0,40800.0,1.1666666666666667,47600
43,W12x50 Wide Flange Beam,ASTM A500 Grade B,120,350,50.0,430.0,21500.0,0.7,15050
31,W8x18 Wide Flange Beam,ASTM A572 Grade 60,480,650,18.0,1240.0,22320.0,0.9027777777777778,20150
37,C8x18 Channel,ASTM A709 Grade 50,120,110,18.0,370.0,6660.0,0.6111111111111112,4070
40,HSS8x8x1/2 Hollow Structural Section,ASTM A992,120,300,8.0,400.0,3200.0,3.75,12000
48,W8x18 Wide Flange Beam,ASTM A572 Grade 60,480,650,18.0,1920.0,34560.0,0.9027777777777778,31200
31,HSS6x6x3/8 Hollow Structural Section,ASTM A992,240,380,6.0,620.0,3720.0,3.1666666666666665,11780
41,W8x18 Wide Flange Beam,ASTM A709 Grade 50,480,650,18.0,1640.0,29520.0,0.9027777777777778,26650
22,C10x25 Channel,ASTM A572 Grade 50,480,470,25.0,880.0,22000.0,0.47,10340
26,L8x8x3/8 Angle,ASTM A572 Grade 50,480,380,8.0,1040.0,8320.0,1.1875,9880
34,W10x30 Wide Flange Beam,ASTM A572 Grade 60,480,1400,30.0,1360.0,40800.0,1.1666666666666667,47600
40,W8x18 Wide Flange Beam,ASTM A572 Grade 60,240,350,18.0,800.0,14400.0,0.9722222222222222,14000
27,HSS8x8x1/2 Hollow Structural Section,ASTM A992,480,1000,8.0,1080.0,8640.0,3.125,27000
3,W10x30 Wide Flange Beam,ASTM A588,480,1400,30.0,120.0,3600.0,1.1666666666666667,4200
5,C10x25 Channel,ASTM A992,240,250,25.0,100.0,2500.0,0.5,1250
40,L4x4x1/4 Angle,ASTM A992,120,60,4.0,400.0,1600.0,1.5,2400
2,W10x22 Wide Flange Beam,ASTM A992,480,800,22.0,80.0,1760.0,0.9090909090909091,1600
41,C8x18 Channel,ASTM A36,120,110,18.0,410.0,7380.0,0.6111111111111112,4510
5,W8x18 Wide Flange Beam,ASTM A709 Grade 50,480,650,18.0,200.0,3600.0,0.9027777777777778,3250
10,W8x18 Wide Flange Beam,ASTM A500 Grade B,120,200,18.0,100.0,1800.0,1.1111111111111112,2000
26,W10x22 Wide Flange Beam,ASTM A36,240,450,22.0,520.0,11440.0,1.0227272727272727,11700
9,W6x12 Wide Flange Beam,ASTM A36,480,600,12.0,360.0,4320.0,1.25,5400
7,C10x15.3 Channel,ASTM A992,240,270,15.3,140.0,2142.0,0.8823529411764706,1890
16,C12x20 Channel,ASTM A572 Grade 50,120,100,20.0,160.0,3200.0,0.5,1600
20,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,240,280,4.0,400.0,1600.0,3.5,5600
17,L8x8x3/8 Angle,ASTM A500 Grade B,240,190,8.0,340.0,2720.0,1.1875,3230
39,C8x18 Channel,ASTM A572 Grade 60,240,210,18.0,780.0,14040.0,0.5833333333333334,8190
23,L8x8x3/8 Angle,ASTM A572 Grade 50,480,380,8.0,920.0,7360.0,1.1875,8740
23,W10x30 Wide Flange Beam,ASTM A709 Grade 50,240,750,30.0,460.0,13800.0,1.25,17250
43,L4x4x1/4 Angle,ASTM A709 Grade 50,120,60,4.0,430.0,1720.0,1.5,2580
34,W6x12 Wide Flange Beam,ASTM A588,120,180,12.0,340.0,4080.0,1.5,6120
40,L8x8x3/8 Angle,ASTM A572 Grade 60,480,380,8.0,1600.0,12800.0,1.1875,15200
28,W10x30 Wide Flange Beam,ASTM A36,480,1400,30.0,1120.0,33600.0,1.1666666666666667,39200
6,C10x15.3 Channel,ASTM A992,120,150,15.3,60.0,918.0,0.9803921568627451,900
10,W8x18 Wide Flange Beam,ASTM A992,240,350,18.0,200.0,3600.0,0.9722222222222222,3500
14,W8x18 Wide Flange Beam,ASTM A572 Grade 60,480,650,18.0,560.0,10080.0,0.9027777777777778,9100
42,C8x18 Channel,ASTM A500 Grade C,120,110,18.0,420.0,7560.0,0.6111111111111112,4620
33,W14x30 Wide Flange Beam,ASTM A992,240,650,30.0,660.0,19800.0,1.0833333333333333,21450
7,HSS8x8x1/2 Hollow Structural Section,ASTM A500 Grade C,480,1000,8.0,280.0,2240.0,3.125,7000
12,L4x4x1/4 Angle,ASTM A500 Grade C,120,60,4.0,120.0,480.0,1.5,720
6,W8x18 Wide Flange Beam,ASTM A572 Grade 60,480,650,18.0,240.0,4320.0,0.9027777777777778,3900
16,W8x18 Wide Flange Beam,ASTM A709 Grade 50,480,650,18.0,640.0,11520.0,0.9027777777777778,10400
8,L8x8x3/8 Angle,ASTM A588,480,380,8.0,320.0,2560.0,1.1875,3040
3,W8x18 Wide Flange Beam,ASTM A500 Grade B,120,200,18.0,30.0,540.0,1.1111111111111112,600
17,HSS4x4x1/4 Hollow Structural Section,ASTM A992,120,150,4.0,170.0,680.0,3.75,2550
14,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,120,150,4.0,140.0,560.0,3.75,2100
48,W10x30 Wide Flange Beam,ASTM A500 Grade C,480,1400,30.0,1920.0,57600.0,1.1666666666666667,67200
2,HSS8x8x1/2 Hollow Structural Section,ASTM A572 Grade 60,120,300,8.0,20.0,160.0,3.75,600
45,W10x30 Wide Flange Beam,ASTM A572 Grade 60,480,1400,30.0,1800.0,54000.0,1.1666666666666667,63000
